"ID";"SOURCE_DATA_TYPE";"SOURCE_DATA_NAME";"FREQUENCY";"UNIT";"PROCESSING_STATE";"DATA_CLASS";"DATA_FORMAT";"KEY_SCHEMA";"VALUE_SCHEMA";"TOPIC";"PROVIDER";"ENABLED";"SOURCE_TYPE_ID";"created_by"
"1";"ACCELEROMETER";"EMPATICA_E4_v1_ACCELEROMETER";"32.0";"G";"RAW";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4Acceleration";"android_empatica_e4_acceleration";NULL;"TRUE";1;"system"
"2";"BATTERY";"EMPATICA_E4_v1_BATTERY";"32.0";"PERCENTAGE";"RAW";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4BatteryLevel";"android_empatica_e4_battery_level";NULL;"TRUE";1;"system"
"3";"QUESTIONNAIRE";"Thinc IT App QUESTIONNAIRE";NULL;NULL;"RAW";NULL;NULL;NULL;NULL;NULL;NULL;"TRUE";2;"system"
"4";"BLOOD_VOLUME_PULSE";"EMPATICA_E4_v1_BLOOD_VOLUME_PULSE";"32.0";"NANO_WATT";"RAW";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4BloodVolumePulse";"android_empatica_e4_blood_volume_pulse";NULL;"TRUE";1;"system"
"5";"ELECTRODERMAL_ACTIVITY";"EMPATICA_E4_v1_ELECTRODERMAL_ACTIVITY";"4.0";"MICRO_SIEMENS";"RAW";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4ElectroDermalActivity";"android_empatica_e4_electrodermal_activity";NULL;"TRUE";1;"system"
"6";"INTER_BEAT_INTERVAL";"EMPATICA_E4_v1_INTER_BEAT_INTERVAL";"1.0";"BEATS_PER_MIN";"VENDOR";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4InterBeatInterval";"android_empatica_e4_inter_beat_interval";NULL;"TRUE";1;"system"
"7";"THERMOMETER";"EMPATICA_E4_v1_THERMOMETER";"4.0";"CELSIUS";"RAW";NULL;NULL;"org.radarbase.kafka.ObservationKey";"org.radarbase.passive.empatica.EmpaticaE4Temperature";"android_empatica_e4_temperature";NULL;"TRUE";1;"system"

